round_id,sequence_name,event_type,severity,blue_action,pre_sla,post_event_sla,post_action_sla,rolling_sla_10,rolling_sla_50,recovery_delta,red_success_score,blue_defense_score,total_utility,action_match,false_positive,recovery_failed,hard_mode_note
90,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.74,ISOLATE_TELEMETRY_STREAM,28.0,0.0,0.0,20.0,24.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
91,MIXED_SAFE_SEQUENCE,TRAFFIC_SPIKE,0.75,APPLY_RATE_LIMIT,24.0,0.0,0.0,10.0,24.0,0.0,45.0,93.5,32.38,True,False,True,local pressure=5; partial/delayed recovery
92,MIXED_SAFE_SEQUENCE,AUTH_ANOMALY,0.73,BLOCK_SUSPICIOUS_TOKEN,24.0,100.0,100.0,10.0,26.0,0.0,0.0,100.0,71.3,True,False,False,local pressure=5
93,MIXED_SAFE_SEQUENCE,MISSION_COMMAND_ANOMALY,0.72,ESCALATE_ALERT,24.0,100.0,100.0,20.0,28.0,0.0,0.0,100.0,71.5,True,False,False,local pressure=5
94,MIXED_SAFE_SEQUENCE,SERVICE_DEGRADATION,0.73,RESTART_SERVICE,24.0,0.0,0.0,20.0,28.0,0.0,65.0,91.5,23.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
95,NOISE_THEN_PRESSURE,LOG_NOISE,0.17,OBSERVE_ONLY,24.0,100.0,100.0,30.0,30.0,0.0,0.0,100.0,72.0,True,False,False,local pressure=4
96,NOISE_THEN_PRESSURE,LOG_NOISE,0.24,OBSERVE_ONLY,28.0,100.0,100.0,40.0,32.0,0.0,0.0,100.0,72.0,True,False,False,local pressure=3
97,NOISE_THEN_PRESSURE,TRAFFIC_SPIKE,0.88,APPLY_RATE_LIMIT,32.0,0.0,0.0,40.0,32.0,0.0,45.0,93.5,31.38,True,False,True,local pressure=4; partial/delayed recovery
98,NOISE_THEN_PRESSURE,TELEMETRY_INCONSISTENCY,0.82,ISOLATE_TELEMETRY_STREAM,32.0,0.0,0.0,40.0,32.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
99,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.86,RESTART_SERVICE,32.0,0.0,0.0,40.0,32.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
100,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.93,RESTART_SERVICE,32.0,0.0,0.0,40.0,30.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
