round_id,event_type,severity,blue_action,pre_sla,post_event_sla,post_action_sla,recovery_delta,red_success_score,blue_defense_score,total_utility,action_match,false_positive,instant_sla,rolling_sla_10,rolling_sla_50,rolling_recovery_delta
58,TELEMETRY_INCONSISTENCY,0.74,ISOLATE_TELEMETRY_STREAM,98.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,10.0
59,TELEMETRY_INCONSISTENCY,0.52,ISOLATE_TELEMETRY_STREAM,98.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,10.0
60,TELEMETRY_INCONSISTENCY,0.6,ISOLATE_TELEMETRY_STREAM,98.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,10.0
61,SERVICE_DEGRADATION,0.95,RESTART_SERVICE,98.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,20.0
62,SERVICE_DEGRADATION,0.88,RESTART_SERVICE,96.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,30.0
63,SERVICE_DEGRADATION,0.86,RESTART_SERVICE,94.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,40.0
64,SERVICE_DEGRADATION,0.89,RESTART_SERVICE,92.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,40.0
65,SERVICE_DEGRADATION,0.92,RESTART_SERVICE,90.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,50.0
66,SERVICE_DEGRADATION,0.91,RESTART_SERVICE,88.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,60.0
67,SERVICE_DEGRADATION,0.8,RESTART_SERVICE,86.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,70.0
68,SERVICE_DEGRADATION,0.76,RESTART_SERVICE,84.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,80.0
69,SERVICE_DEGRADATION,0.81,RESTART_SERVICE,82.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,90.0
70,SERVICE_DEGRADATION,0.8,RESTART_SERVICE,80.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,100.0
71,SERVICE_DEGRADATION,0.79,RESTART_SERVICE,78.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,100.0
72,SERVICE_DEGRADATION,0.94,RESTART_SERVICE,76.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,100.0
73,SERVICE_DEGRADATION,0.93,RESTART_SERVICE,74.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,100.0
74,SERVICE_DEGRADATION,0.81,RESTART_SERVICE,72.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,100.0
75,SERVICE_DEGRADATION,0.88,RESTART_SERVICE,70.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,100.0
76,SERVICE_DEGRADATION,0.83,RESTART_SERVICE,68.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,100.0
77,SERVICE_DEGRADATION,0.93,RESTART_SERVICE,66.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,100.0
78,SERVICE_DEGRADATION,0.84,RESTART_SERVICE,64.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,100.0
79,SERVICE_DEGRADATION,0.8,RESTART_SERVICE,62.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,100.0
80,SERVICE_DEGRADATION,0.8,RESTART_SERVICE,62.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False,100.0,100.0,100.0,100.0
81,MISSION_COMMAND_ANOMALY,0.67,ESCALATE_ALERT,60.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,90.0
82,MISSION_COMMAND_ANOMALY,0.56,ESCALATE_ALERT,60.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,80.0
83,MISSION_COMMAND_ANOMALY,0.68,ESCALATE_ALERT,60.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,70.0
84,MISSION_COMMAND_ANOMALY,0.81,ESCALATE_ALERT,60.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,60.0
85,MISSION_COMMAND_ANOMALY,0.61,ESCALATE_ALERT,60.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,50.0
86,MISSION_COMMAND_ANOMALY,0.54,ESCALATE_ALERT,60.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,40.0
87,MISSION_COMMAND_ANOMALY,0.85,ESCALATE_ALERT,62.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,30.0
88,MISSION_COMMAND_ANOMALY,0.65,ESCALATE_ALERT,64.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,20.0
89,MISSION_COMMAND_ANOMALY,0.49,ESCALATE_ALERT,66.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,10.0
90,MISSION_COMMAND_ANOMALY,0.47,ESCALATE_ALERT,68.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,0.0
91,MISSION_COMMAND_ANOMALY,0.49,ESCALATE_ALERT,70.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,0.0
92,MISSION_COMMAND_ANOMALY,0.7,ESCALATE_ALERT,72.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,0.0
93,MISSION_COMMAND_ANOMALY,0.77,ESCALATE_ALERT,74.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,0.0
94,MISSION_COMMAND_ANOMALY,0.62,ESCALATE_ALERT,76.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,0.0
95,MISSION_COMMAND_ANOMALY,0.48,ESCALATE_ALERT,78.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,0.0
96,MISSION_COMMAND_ANOMALY,0.6,ESCALATE_ALERT,80.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,0.0
97,MISSION_COMMAND_ANOMALY,0.85,ESCALATE_ALERT,82.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,0.0
98,MISSION_COMMAND_ANOMALY,0.66,ESCALATE_ALERT,84.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,0.0
99,MISSION_COMMAND_ANOMALY,0.84,ESCALATE_ALERT,86.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,0.0
100,MISSION_COMMAND_ANOMALY,0.79,ESCALATE_ALERT,88.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False,100.0,100.0,100.0,0.0
101,LOG_NOISE,0.1,OBSERVE_ONLY,90.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
102,LOG_NOISE,0.24,OBSERVE_ONLY,92.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
103,LOG_NOISE,0.24,OBSERVE_ONLY,94.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
104,LOG_NOISE,0.21,OBSERVE_ONLY,96.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
105,LOG_NOISE,0.15,OBSERVE_ONLY,98.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
106,LOG_NOISE,0.23,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
107,LOG_NOISE,0.12,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
108,LOG_NOISE,0.19,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
109,LOG_NOISE,0.19,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
110,LOG_NOISE,0.29,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
111,LOG_NOISE,0.28,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
112,LOG_NOISE,0.15,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
113,LOG_NOISE,0.2,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
114,LOG_NOISE,0.14,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
115,LOG_NOISE,0.28,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
116,LOG_NOISE,0.27,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
117,LOG_NOISE,0.16,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
118,LOG_NOISE,0.23,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
119,LOG_NOISE,0.22,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
120,LOG_NOISE,0.13,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,100.0,72.0,True,False,100.0,100.0,100.0,0.0
